date,close,high,low,open,volume,adjClose,adjHigh,adjLow,adjOpen,adjVolume,divCash,splitFactor
2020-03-05T00:00:00.000Z,48.11,49.72,47.51,48.68,98302748,48.11,49.72,47.51,48.68,98302748,0.0,1.0
2020-03-06T00:00:00.000Z,48.59,49.54,46.74,49.44,124590861,48.59,49.54,46.74,49.44,124590861,0.0,1.0
2020-03-09T00:00:00.000Z,43.27,46.34,42.51,43.03,80859774,43.27,46.34,42.51,43.03,80859774,0.0,1.0
2020-03-10T00:00:00.000Z,45.38,45.44,43.1,45.41,76228247,45.38,45.44,43.1,45.41,76228247,0.0,1.0
2020-03-11T00:00:00.000Z,45.7,45.97,43.8,44.19,102319010,45.7,45.97,43.8,44.19,102319010,0.0,1.0
2020-03-12T00:00:00.000Z,39.01,42.5,39.0,42.0,107461521,39.01,42.5,39.0,42.0,107461521,0.0,1.0
2020-03-13T00:00:00.000Z,43.9,43.91,39.6,42.2,86689681,43.9,43.91,39.6,42.2,86689681,0.0,1.0
2020-03-16T00:00:00.000Z,38.71,43.37,38.51,39.08,84545868,38.71,43.37,38.51,39.08,84545868,0.0,1.0
2020-03-17T00:00:00.000Z,41.88,42.88,38.3,40.19,92741881,41.88,42.88,38.3,40.19,92741881,0.0,1.0
2020-03-18T00:00:00.000Z,39.12,41.95,36.75,39.54,106163124,39.12,41.95,36.75,39.54,106163124,0.0,1.0
2020-03-19T00:00:00.000Z,39.82,41.7,37.69,39.56,88939024,39.82,41.7,37.69,39.56,88939024,0.0,1.0
2020-03-20T00:00:00.000Z,39.61,42.48,39.58,41.51,106859502,39.61,42.48,39.58,41.51,106859502,0.0,1.0
2020-03-23T00:00:00.000Z,41.64,42.32,38.95,40.62,101704663,41.64,42.32,38.95,40.62,101704663,0.0,1.0
2020-03-24T00:00:00.000Z,46.22,46.81,43.99,44.04,106794151,46.22,46.81,43.99,44.04,106794151,0.0,1.0
2020-03-25T00:00:00.000Z,44.63,47.88,44.43,46.79,93760389,44.63,47.88,44.43,46.79,93760389,0.0,1.0
2020-03-26T00:00:00.000Z,47.5,47.5,45.4,45.78,73915608,47.5,47.5,45.4,45.78,73915608,0.0,1.0
2020-03-27T00:00:00.000Z,46.58,47.98,45.9,46.32,74599218,46.58,47.98,45.9,46.32,74599218,0.0,1.0
2020-03-30T00:00:00.000Z,47.86,48.46,46.66,47.24,68486602,47.86,48.46,46.66,47.24,68486602,0.0,1.0
2020-03-31T00:00:00.000Z,45.48,48.53,45.16,47.93,83483749,45.48,48.53,45.16,47.93,83483749,0.0,1.0
