date,close,high,low,open,volume,adjClose,adjHigh,adjLow,adjOpen,adjVolume,divCash,splitFactor
2021-03-16T00:00:00.000Z,18.45,19.48,18.01,19.27,3023710,18.45,19.48,18.01,19.27,3023710,0.0,1.0
2021-03-17T00:00:00.000Z,19.15,19.355,17.5,17.61,3651446,19.15,19.355,17.5,17.61,3651446,0.0,1.0
2021-03-18T00:00:00.000Z,18.14,19.1,18.05,18.5,2999232,18.14,19.1,18.05,18.5,2999232,0.0,1.0
2021-03-19T00:00:00.000Z,18.25,18.43,17.06,17.77,3667400,18.25,18.43,17.06,17.77,3667400,0.0,1.0
2021-03-22T00:00:00.000Z,18.27,18.49,17.82,18.28,2316971,18.27,18.49,17.82,18.28,2316971,0.0,1.0
2021-03-23T00:00:00.000Z,17.9,18.18,17.27,17.96,2939043,17.9,18.18,17.27,17.96,2939043,0.0,1.0
2021-03-24T00:00:00.000Z,16.48,17.8189,16.25,17.56,4642127,16.48,17.8189,16.25,17.56,4642127,0.0,1.0
2021-03-25T00:00:00.000Z,16.63,16.79,15.11,15.7,5364400,16.63,16.79,15.11,15.7,5364400,0.0,1.0
2021-03-26T00:00:00.000Z,17.1,17.72,16.52,17.14,4598666,17.1,17.72,16.52,17.14,4598666,0.0,1.0
2021-03-29T00:00:00.000Z,16.44,17.09,16.22,16.98,2827866,16.44,17.09,16.22,16.98,2827866,0.0,1.0
2021-03-30T00:00:00.000Z,16.5,17.22,15.9,16.27,2634355,16.5,17.22,15.9,16.27,2634355,0.0,1.0
2021-03-31T00:00:00.000Z,17.15,17.36,16.68,16.97,2665288,17.15,17.36,16.68,16.97,2665288,0.0,1.0
2021-04-01T00:00:00.000Z,17.27,17.64,16.91,17.51,2322619,17.27,17.64,16.91,17.51,2322619,0.0,1.0
2021-04-05T00:00:00.000Z,16.72,17.84,16.66,17.74,2506596,16.72,17.84,16.66,17.74,2506596,0.0,1.0
2021-04-06T00:00:00.000Z,17.26,17.3031,16.5,16.51,1849475,17.26,17.3031,16.5,16.51,1849475,0.0,1.0
2021-04-07T00:00:00.000Z,17.2,17.37,16.9,17.25,1988120,17.2,17.37,16.9,17.25,1988120,0.0,1.0
2021-04-08T00:00:00.000Z,18.14,18.64,17.02,17.03,2527735,18.14,18.64,17.02,17.03,2527735,0.0,1.0
2021-04-09T00:00:00.000Z,17.77,18.26,17.6,17.96,1654956,17.77,18.26,17.6,17.96,1654956,0.0,1.0
2021-04-12T00:00:00.000Z,17.0,17.96,16.85,17.87,2309270,17.0,17.96,16.85,17.87,2309270,0.0,1.0
2021-04-13T00:00:00.000Z,16.83,17.05,16.51,16.66,2234993,16.83,17.05,16.51,16.66,2234993,0.0,1.0
2021-04-14T00:00:00.000Z,16.68,17.24,16.46,16.94,2418174,16.68,17.24,16.46,16.94,2418174,0.0,1.0
2021-04-15T00:00:00.000Z,16.28,16.87,16.23,16.75,2088877,16.28,16.87,16.23,16.75,2088877,0.0,1.0
2021-04-16T00:00:00.000Z,16.32,16.44,15.93,16.14,2167003,16.32,16.44,15.93,16.14,2167003,0.0,1.0
2021-04-19T00:00:00.000Z,15.39,16.12,15.16,16.04,3816641,15.39,16.12,15.16,16.04,3816641,0.0,1.0
2021-04-20T00:00:00.000Z,14.87,15.84,14.74,15.5,3430907,14.87,15.84,14.74,15.5,3430907,0.0,1.0
2021-04-21T00:00:00.000Z,15.21,15.78,14.7,14.85,3493970,15.21,15.78,14.7,14.85,3493970,0.0,1.0
2021-04-22T00:00:00.000Z,15.84,16.47,15.4,15.94,3141175,15.84,16.47,15.4,15.94,3141175,0.0,1.0
2021-04-23T00:00:00.000Z,16.17,16.63,15.62,16.39,3029423,16.17,16.63,15.62,16.39,3029423,0.0,1.0
2021-04-26T00:00:00.000Z,16.68,16.87,16.02,16.48,1964800,16.68,16.87,16.02,16.48,1964800,0.0,1.0
2021-04-27T00:00:00.000Z,17.4,17.55,16.75,17.15,2583032,17.4,17.55,16.75,17.15,2583032,0.0,1.0
2021-04-28T00:00:00.000Z,17.55,17.7,17.06,17.25,1771152,17.55,17.7,17.06,17.25,1771152,0.0,1.0
2021-04-29T00:00:00.000Z,17.43,17.87,16.815,17.8699,2095246,17.43,17.87,16.815,17.8699,2095246,0.0,1.0
2021-04-30T00:00:00.000Z,17.0,17.37,16.94,17.0,1385057,17.0,17.37,16.94,17.0,1385057,0.0,1.0
2021-05-03T00:00:00.000Z,16.37,17.15,16.18,17.0,1636490,16.37,17.15,16.18,17.0,1636490,0.0,1.0
2021-05-04T00:00:00.000Z,16.17,16.4,15.71,16.19,1985775,16.17,16.4,15.71,16.19,1985775,0.0,1.0
2021-05-05T00:00:00.000Z,15.54,16.3,15.48,16.24,290200,15.54,16.3,15.48,16.24,290200,0.0,1.0
